href,name,born,died,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Alexander_Chee,Alexander Chee,1967,,Rhode Island,,-71.5992372,41.7962409,0,0
https://en.wikipedia.org/wiki/Neeli_Cherkovski,Neeli Cherkovski,1945,,"Santa Monica, California",,-118.491227,34.0194704,0,0
https://en.wikipedia.org/wiki/Maxine_Chernoff,Maxine Chernoff,1952,,,,0,0,0,0
https://en.wikipedia.org/wiki/Kelly_Cherry,Kelly Cherry,1940,2022,"Baton Rouge, Louisiana","Halifax, Virginia",-91.1869659,30.4494155,-78.9425634,36.747244
https://en.wikipedia.org/wiki/James_Wm._Chichetto,James Wm. Chichetto,1941,,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Childress,William Childress,1933,2022,,,0,0,0,0
https://en.wikipedia.org/wiki/Khendum_Choden,Khendum Choden,,,,,0,0,0,0
https://en.wikipedia.org/wiki/Franny_Choi,Franny Choi,1989,,,,0,0,0,0
https://en.wikipedia.org/wiki/Chrystos,Chrystos,1946,,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Ciardi,John Ciardi,1916,1986,"Boston, Massachusetts","Metuchen, New Jersey",-71.060511,42.3554334,-74.3632049,40.5431598
https://en.wikipedia.org/wiki/Noah_Cicero,Noah Cicero,1980,,,,0,0,0,0
https://en.wikipedia.org/wiki/Sandra_Cisneros,Sandra Cisneros,1954,,Chicago,,-87.6244212,41.8755616,0,0
https://en.wikipedia.org/wiki/Carson_Cistulli,Carson Cistulli,1979,,"Concord, New Hampshire",,-71.537476,43.207178,0,0
https://en.wikipedia.org/wiki/Amy_Clampitt,Amy Clampitt,1920,1994,,,0,0,0,0
https://en.wikipedia.org/wiki/Tom_Clark_(poet),Tom Clark (poet),1941,2018,,,0,0,0,0
https://en.wikipedia.org/wiki/Walter_Van_Tilburg_Clark,Walter Van Tilburg Clark,1909,1971,"Orland, Maine","Virginia City, Nevada",-68.7358642,44.5703522,-119.649517,39.3108133
https://en.wikipedia.org/wiki/John_Lee_Clark,John Lee Clark,1978,,,,0,0,0,0
https://en.wikipedia.org/wiki/John_Clarke_(poet),John Clarke (poet),1933,1992,,,0,0,0,0
https://en.wikipedia.org/wiki/Lucille_Clifton,Lucille Clifton,1936,2010,"Depew, New York","Baltimore, Maryland",-78.6956723,42.9022047,-76.610759,39.2908816
https://en.wikipedia.org/wiki/Joshua_Clover,Joshua Clover,1962,,"Berkeley, California",,-122.272863,37.8708393,0,0
https://en.wikipedia.org/wiki/Florence_Earle_Coates,Florence Earle Coates,1850,1927,Philadelphia,Hahnemann University Hospital,-75.1635262,39.9527237,-75.16354750109720,39.95687290000000
https://en.wikipedia.org/wiki/Grace_Stone_Coates,Grace Stone Coates,1881,1976,,,0,0,0,0
https://en.wikipedia.org/wiki/Stanton_A._Coblentz,Stanton A. Coblentz,1896,1982,,,0,0,0,0
https://en.wikipedia.org/wiki/Andrei_Codrescu,Andrei Codrescu,1946,,Kingdom of Romania,,26.655508614285700,47.7463231,0,0
https://en.wikipedia.org/wiki/Robert_P._T._Coffin,Robert P. T. Coffin,1892,1955,"Brunswick, Maine","Brunswick, Maine",-69.9653278,43.9145244,-69.9653278,43.9145244
https://en.wikipedia.org/wiki/Ira_Cohen,Ira Cohen,1935,2011,,,0,0,0,0
https://en.wikipedia.org/wiki/Nan_Cohen,Nan Cohen,1968,,,,0,0,0,0
https://en.wikipedia.org/wiki/Jim_Cohn,Jim Cohn,1953,,,,0,0,0,0
https://en.wikipedia.org/wiki/Henri_Cole,Henri Cole,1956,,,,0,0,0,0
https://en.wikipedia.org/wiki/Norma_Cole,Norma Cole,1945,,,,0,0,0,0
https://en.wikipedia.org/wiki/Wanda_Coleman,Wanda Coleman,1946,2014,"Los Angeles, CA","Los Angeles, CA",-118.242766,34.0536909,-118.242766,34.0536909
https://en.wikipedia.org/wiki/Billy_Collins,Billy Collins,1941,,"New York City, New York",,-74.0060152,40.7127281,0,0
https://en.wikipedia.org/wiki/Martha_Collins_(poet),Martha Collins (poet),1940,,,,0,0,0,0
https://en.wikipedia.org/wiki/Betsy_Colquitt,Betsy Colquitt,1927,2009,,,0,0,0,0
https://en.wikipedia.org/wiki/Shanna_Compton,Shanna Compton,1970,,,,0,0,0,0
https://en.wikipedia.org/wiki/Hilda_Conkling,Hilda Conkling,1910,1986,,,0,0,0,0
https://en.wikipedia.org/wiki/Evan_S._Connell,Evan S. Connell,1924,2013,,"Santa Fe, New Mexico",0,0,-105.938456,35.6876096
https://en.wikipedia.org/wiki/Leo_Connellan,Leo Connellan,1928,2001,,"Sprague, Connecticut",0,0,0,0
https://en.wikipedia.org/wiki/Gillian_Conoley,Gillian Conoley,1955,,,,0,0,0,0
https://en.wikipedia.org/wiki/Victor_Contoski,Victor Contoski,1936,,,,0,0,0,0
https://en.wikipedia.org/wiki/J._Gordon_Coogler,J. Gordon Coogler,1865,1901,,,0,0,0,0
https://en.wikipedia.org/wiki/Rose_Terry_Cooke,Rose Terry Cooke,1827,1892,"West Hartford, Connecticut","Pittsfield, Massachusetts",-72.71337219477050,41.778528300000000,-73.260018,42.451302
https://en.wikipedia.org/wiki/Ina_Coolbrith,Ina Coolbrith,1841,1928,,,0,0,0,0
https://en.wikipedia.org/wiki/Clark_Coolidge,Clark Coolidge,1939,,,,0,0,0,0
https://en.wikipedia.org/wiki/Dennis_Cooper,Dennis Cooper,1953,,"Pasadena, California",,-118.1441551,34.1476507,0,0
https://en.wikipedia.org/wiki/Jake_Copass,Jake Copass,1920,2006,,,0,0,0,0
https://en.wikipedia.org/wiki/William_Corbett_(poet),William Corbett (poet),1942,2018,,,0,0,0,0
https://en.wikipedia.org/wiki/Billy_Corgan,Billy Corgan,1967,,Chicago,,-87.6244212,41.8755616,0,0
https://en.wikipedia.org/wiki/Cid_Corman,Cid Corman,1924,2004,,,0,0,0,0
https://en.wikipedia.org/wiki/Alfred_Corn,Alfred Corn,1943,,,,0,0,0,0
