href,name,born,died,info,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Gioconda_Belli,Gioconda Belli,1948,0,Nicaraguan poet and novelist,Managua,,-86.27376,12.1544,0,0
https://en.wikipedia.org/wiki/Giuseppe_Gioachino_Belli,Giuseppe Gioachino Belli,1791,1863,Italian sonneteer in Romanesco,,,0,0,0,0
https://en.wikipedia.org/wiki/Xuan_Bello,Xuan Bello,1965,0,Asturian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Asturian_language,Asturian,1965,0,Asturian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Hilaire_Belloc,Hilaire Belloc,1870,1953,Anglo-French writer and historian,La Celle-Saint-Cloud,Guildford,2.13614,48.84788,-0.57321,51.23561
https://en.wikipedia.org/wiki/Andrei_Bely,Andrei Bely,1880,1934,"Russian novelist, poet and critic",Moscow,Russian SFSR,37.60639,55.62558,0,0
https://en.wikipedia.org/wiki/Stephen_Vincent_Ben%C3%A9t,Stephen Vincent Benét,1898,1943,"US author, poet and fiction writer","Fountain Hill, Pennsylvania",New York City,-75.39518,40.60149,-74.00602,40.71273
https://en.wikipedia.org/wiki/William_Rose_Ben%C3%A9t,William Rose Benét,1886,1950,"US poet, writer and editor","Brooklyn, New York",New York City,-73.94972,40.6526,-74.00602,40.71273
https://en.wikipedia.org/wiki/Elizabeth_Benger,Elizabeth Benger,1775,1827,"English poet, biographer and novelist",,,0,0,0,0
https://en.wikipedia.org/wiki/Gottfried_Benn,Gottfried Benn,1886,1956,"German essayist, novelist and expressionist poet",Putlitz,West Berlin,12.04098,53.25059,-64.58279,44.07427
https://en.wikipedia.org/wiki/Gwendolyn_B._Bennett,Gwendolyn B. Bennett,1902,1981,African-US writer and poet,"Giddings, Texas","Reading, Pennsylvania",-96.93661,30.18305,-75.92795,40.33534
https://en.wikipedia.org/wiki/Jim_Bennett_(poet),Jim Bennett,1951,0,English poet in Liverpool punk era,,,0,0,0,0
https://en.wikipedia.org/wiki/Richard_Berengarten,Richard Berengarten,1943,0,,,,0,0,0,0
https://en.wikipedia.org/wiki/Bo_Bergman,Bo Bergman,1869,1967,Swedish writer and critic,,,0,0,0,0
https://en.wikipedia.org/wiki/%C4%B0lhan_Berk,İlhan Berk,1918,2008,Turkish poet,,Muğla Province,0,0,0,0
https://en.wikipedia.org/wiki/Charles_Bernstein_(poet),Charles Bernstein,1950,0,US poet and scholar,,,0,0,0,0
https://en.wikipedia.org/wiki/B%C3%A9roul,Béroul,0,0,Norman poet of episodic Tristan,,,0,0,0,0
https://en.wikipedia.org/wiki/Daniel_Berrigan,Daniel Berrigan,1921,2016,"US poet, priest and peace activist","Virginia, Minnesota",New York City,-92.53657,47.52326,-74.00602,40.71273
https://en.wikipedia.org/wiki/Ted_Berrigan,Ted Berrigan,1934,1983,US poet,,,0,0,0,0
https://en.wikipedia.org/wiki/James_Berry_(poet),James Berry,1924,2017,Jamaican poet based in England,"Portland, Jamaica","London, England",-76.5374,18.12682,-0.14406,51.48933
https://en.wikipedia.org/wiki/Wendell_Berry,Wendell Berry,1934,0,"US man of letters, critic and farmer","Henry County, Kentucky",,-85.11912,38.44798,0,0
https://en.wikipedia.org/wiki/John_Berryman,John Berryman,1914,1972,US poet and scholar,"McAlester, Oklahoma",Minneapolis,-95.76979,34.9335,-93.26547,44.9773
https://en.wikipedia.org/wiki/D%C3%A1niel_Berzsenyi,Dániel Berzsenyi,1776,1836,Hungarian poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Ursula_Bethell,Mary Ursula Bethell,1874,1945,New Zealand poet and social worker,Horsell,Christchurch,-0.56686,51.32469,172.63643,-43.53096
https://en.wikipedia.org/wiki/John_Betjeman,John Betjeman,1906,1984,"English poet, writer and broadcaster",,,0,0,0,0
https://en.wikipedia.org/wiki/Elizabeth_Beverley,Elizabeth Beverley,0,0,"English poet, writer and entertainer",,,0,0,0,0
https://en.wikipedia.org/wiki/Helen_Bevington,Helen Bevington,1906,2001,"US poet, prose writer and educator",,,0,0,0,0
https://en.wikipedia.org/wiki/L._S._Bevington,L. S. Bevington,1845,1895,English anarchist poet and essayist,Battersea,Willesden Green,-0.17221,51.47079,-0.22222,51.54935
https://en.wikipedia.org/wiki/Subramanya_Bharathi,Subramanya Bharathi,1882,1921,"Tamil writer, poet and Indian independence activist",Ettayapuram,Madras,78.02305,9.18061,-121.12949,44.63345
https://en.wikipedia.org/wiki/Sujata_Bhatt,Sujata Bhatt,1956,0,Indian poet in Gujarati,,,0,0,0,0
https://en.wikipedia.org/wiki/%C5%B9mitrok_Biadula,Źmitrok Biadula,1886,1941,"Jewish Belarusian poet, prose writer and independence activist",Vilna Governorate,"Oral, Kazakhstan",0,0,0,0
https://en.wikipedia.org/wiki/Belarus,Belarusian,1886,1941,"Jewish Belarusian poet, prose writer and independence activist",,,0,0,0,0
https://en.wikipedia.org/wiki/Miron_Bia%C5%82oszewski,Miron Białoszewski,1922,1983,"Polish poet, novelist and playwright",,,0,0,0,0
https://en.wikipedia.org/wiki/Zbigniew_Bie%C5%84kowski,Zbigniew Bieńkowski,1913,1994,"Polish poet, critic and translator",,,0,0,0,0
https://en.wikipedia.org/wiki/Biernat_of_Lublin,Biernat of Lublin,0,0,Polish poet and fabulist,,,0,0,0,0
https://en.wikipedia.org/wiki/Laurence_Binyon,Laurence Binyon,1879,1943,"English poet, dramatist and art scholar","Lancaster, Lancashire","Reading, Berkshire",-2.79903,54.04841,-0.95811,51.44918
https://en.wikipedia.org/wiki/Earle_Birney,Earle Birney,1904,1995,"Canadian poet, fiction writer and dramatist",,"Toronto, Ontario",0,0,-79.38393,43.65348
https://en.wikipedia.org/wiki/Nevin_Birsa_(Slovene_poet),Nevin Birsa,1947,2003,Slovene poet,,,0,0,0,0
https://en.wikipedia.org/wiki/Bal%C3%A1zs_Birtalan,Balázs Birtalan,1969,2016,Hungarian poet and publicist,,,0,0,0,0
